Town Num,Town,County,Region,Interstate Miles,Interstate DVMT,Freeway Miles,Freeway DVMT,Principal Arterial Miles,Principal Arterial DVMT,Minor Arterial Miles,Minor Arterial DVMT,Major ColelctorMiles,Major Collector DVMT,Minor Collector Miles,Minor Collector DVMT,Local Miles,Local DVMT
1,Andover,Tolland,Capitol Region,0,0,0,0,4.98,88426,0,0,4.12,8502,2.47,2716,32.64,13111
2,Ansonia,New Haven,Valley,0,0,1.49,87366,2.31,20338,9.77,59904,7.46,16303,0,0,47.92,36849
3,Ashford,Windham,Northeastern CT,1.6,81980,0,0,0,0,6.08,43850,12.49,32560,4.01,2071,63.58,25432
4,Avon,Hartford,Capitol Region,0,0,0,0,8.23,151286,7.65,68657,18.89,68453,0,0,90.23,62144
5,Barkhamsted,Litchfield,Litchfield Hills,0,0,0,0,3.94,48417,0,0,28.76,61793,0,0,42.48,20363
6,Beacon Falls,New Haven,Central Naugatuck,0,0,4.23,203474,0,0,0,0,12.62,36296,1.37,1507,18.98,12335
7,Berlin,Hartford,Central CT,0,0,5.36,247673,10.17,186227,17.19,126829,17.03,61303,0.3,180,86.87,60890
8,Bethany,New Haven,South Central,0,0,0,0,5.31,34759,5.57,40839,11.27,18961,2.71,1455,51.01,26355
9,Bethel,Fairfield,Housatonic Valley,1.43,115944,0,0,0,0,16.1,135491,5.29,27871,0,0,77.22,63152
10,Bethlehem,Litchfield,Central Naugatuck,0,0,0,0,0,0,0,0,11.69,23612,1.57,3787,43.93,17739
11,Bloomfield,Hartford,Capitol Region,0,0,0,0,4.86,112915,23.44,265778,12.17,46381,0,0,88.16,61490
12,Bolton,Tolland,Capitol Region,1.16,33500,0.57,17955,2.28,43548,4.03,45811,10.44,32863,1.89,11079,37.07,24750
13,Bozrah,New London,Southeastern CT,0,0,4.09,103903,0,0,1.02,6324,10.42,19123,0,0,33.74,13690
14,Branford,New Haven,South Central,6.28,524258,0,0,4.72,85587,6.2,60267,23.96,101987,0,0,91.21,43183
15,Bridgeport,Fairfield,Greater Bridgeport,3.78,533280,4.13,330163,8.16,147565,47.68,415920,35.56,129167,0,0,185.26,142460
